siteID,original_site,lat,lon,climate,pft_0,pft,IGBP,soil_tex_id,Soil_TEX,swc_i,Zm,flux_data_starts,flux_data_ends,nc_file_path,lai_fpar_file_path,frac_V,frac_T,frac_H,frac_B,frac_sum
AU-Dig,DigbyPlantation,-37.88269,141.61647,Te,BL,BF-te,EBF,7,SANDY CLAY LOAM,Sws,-0.3,2018-01-01 00:30:00,2021-07-07 12:00:00,/home/sanjays/et97_scratch2/oldscratch/Ozflux_data_full/L6/DigbyPlantation_L6.nc,/home/sanjays/et97_scratch2/oldscratch/Ozflux_data_full/OWUS_australia/sanjay data creation/modis_lai_fpar_data/modis_climatology_curves_2003_2025/DigbyPlantation_MODIS_DOY_climatology_mean_win31_2003_2025.csv,0.9875,0.4125,0.575,0.0125,0.9999999999999999
AU-Gat,GatumPasture,-37.39004,141.9609,Te,H,G-C3,GRA,7,SANDY CLAY LOAM,Sws,-0.05,2015-02-09 00:30:00,2021-12-31 23:30:00,/home/sanjays/et97_scratch2/oldscratch/Ozflux_data_full/L6/GatumPasture_L6.nc,/home/sanjays/et97_scratch2/oldscratch/Ozflux_data_full/OWUS_australia/sanjay data creation/modis_lai_fpar_data/modis_climatology_curves_2003_2025/GatumPasture_MODIS_DOY_climatology_mean_win31_2003_2025.csv,0.9957142857142857,0.09428571428571429,0.9014285714285714,0.004285714285714285,1.0
AU-Otw,Otway,-38.525,142.81,Te,H,G-C3,SAV,7,SANDY CLAY LOAM,Sws,-0.075,2007-08-11 00:00:00,2011-01-01 00:00:00,/home/sanjays/et97_scratch2/oldscratch/Ozflux_data_full/L6/Otway_L6.nc,/home/sanjays/et97_scratch2/oldscratch/Ozflux_data_full/OWUS_australia/sanjay data creation/modis_lai_fpar_data/modis_climatology_curves_2003_2025/Otway_MODIS_DOY_climatology_mean_win31_2003_2025.csv,0.996,0.34,0.6559999999999999,0.004,1.0
AU-SiP,SilverPlains,-42.09056,147.08749,Te,H,G-C3,WSA,7,SANDY CLAY LOAM,Sws,-0.1,2019-12-05 10:00:00,2024-12-31 23:30:00,/home/sanjays/et97_scratch2/oldscratch/Ozflux_data_full/L6/SilverPlains_L6.nc,/home/sanjays/et97_scratch2/oldscratch/Ozflux_data_full/OWUS_australia/sanjay data creation/modis_lai_fpar_data/modis_climatology_curves_2003_2025/SilverPlains_MODIS_DOY_climatology_mean_win31_2003_2025.csv,0.98,0.47200000000000003,0.508,0.02,1.0
AU-Eme,Emerald,-23.85872,148.47459,Ar,H,G-C4,GRA,7,SANDY CLAY LOAM,Sws,-0.15,2011-06-10 00:30:00,2013-12-31 23:30:00,/home/sanjays/et97_scratch2/oldscratch/Ozflux_data_full/L6/Emerald_L6.nc,/home/sanjays/et97_scratch2/oldscratch/Ozflux_data_full/OWUS_australia/sanjay data creation/modis_lai_fpar_data/modis_climatology_curves_2003_2025/Emerald_MODIS_DOY_climatology_mean_win31_2003_2025.csv,0.7566666666666667,0.06666666666666667,0.69,0.2433333333333333,0.9999999999999999
AU-Alp,AlpinePeatland,-36.86222,147.32083,Bo,H,G-C3,ENF,7,SANDY CLAY LOAM,Sws,-0.05,2017-04-12 18:30:00,2022-06-20 23:30:00,/home/sanjays/et97_scratch2/oldscratch/Ozflux_data_full/L6/AlpinePeatland_L6.nc,/home/sanjays/et97_scratch2/oldscratch/Ozflux_data_full/OWUS_australia/sanjay data creation/modis_lai_fpar_data/modis_climatology_curves_2003_2025/AlpinePeatland_MODIS_DOY_climatology_mean_win31_2003_2025.csv,0.96,0.48,0.48,0.04,1.0
AU-Rig,RiggsCreek,-36.656,145.576,Te,H,G-C3,GRA,7,SANDY CLAY LOAM,Sws,-0.05,2011-01-01 00:30:00,2017-07-12 17:30:00,/home/sanjays/et97_scratch2/oldscratch/Ozflux_data_full/L6/RiggsCreek_L6.nc,/home/sanjays/et97_scratch2/oldscratch/Ozflux_data_full/OWUS_australia/sanjay data creation/modis_lai_fpar_data/modis_climatology_curves_2003_2025/RiggsCreek_MODIS_DOY_climatology_mean_win31_2003_2025.csv,0.9714285714285714,0.051428571428571435,0.92,0.02857142857142857,1.0
AU-YarC,YarramundiControl,-33.61347,150.73486,Te,H,G-C3,SAV,7,SANDY CLAY LOAM,Sws,-0.1,2019-10-22 15:30:00,2025-01-01 00:00:00,/home/sanjays/et97_scratch2/oldscratch/Ozflux_data_full/L6/YarramundiControl_L6.nc,/home/sanjays/et97_scratch2/oldscratch/Ozflux_data_full/OWUS_australia/sanjay data creation/modis_lai_fpar_data/modis_climatology_curves_2003_2025/YarramundiControl_MODIS_DOY_climatology_mean_win31_2003_2025.csv,0.922,0.126,0.7959999999999999,0.078,0.9999999999999999
AU-YarI,YarramundiIrrigated,-33.62081,150.76329,Te,H,G-C3,GRA,7,SANDY CLAY LOAM,Sws,-0.1,2019-10-15 09:30:00,2024-12-29 12:00:00,/home/sanjays/et97_scratch2/oldscratch/Ozflux_data_full/L6/YarramundiIrrigated_L6.nc,/home/sanjays/et97_scratch2/oldscratch/Ozflux_data_full/OWUS_australia/sanjay data creation/modis_lai_fpar_data/modis_climatology_curves_2003_2025/YarramundiIrrigated_MODIS_DOY_climatology_mean_win31_2003_2025.csv,0.948,0.19399999999999998,0.754,0.052000000000000005,1.0
AU-Ync,Yanco,-34.9878,146.2908,Ar,H,G-C3,GRA,10,SANDY CLAY,Sws,-0.1,2012-10-24 14:00:00,2025-01-28 03:00:00,/home/sanjays/et97_scratch2/oldscratch/Ozflux_data_full/L6/Yanco_L6.nc,/home/sanjays/et97_scratch2/oldscratch/Ozflux_data_full/OWUS_australia/sanjay data creation/modis_lai_fpar_data/modis_climatology_curves_2003_2025/Yanco_MODIS_DOY_climatology_mean_win31_2003_2025.csv,0.7883333333333333,0.05916666666666667,0.7291666666666667,0.21166666666666667,1.0
AU-DaP,DalyPasture,-14.0633,131.3181,Tr,H,G-C3,GRA,2,LOAMY SAND,Sws,-0.05,2008-01-01 00:00:00,2013-09-08 13:30:00,/home/sanjays/et97_scratch2/oldscratch/Ozflux_data_full/L6/DalyPasture_L6.nc,/home/sanjays/et97_scratch2/oldscratch/Ozflux_data_full/OWUS_australia/sanjay data creation/modis_lai_fpar_data/modis_climatology_curves_2003_2025/DalyPasture_MODIS_DOY_climatology_mean_win31_2003_2025.csv,0.8883333333333333,0.1,0.7883333333333333,0.11166666666666666,1.0
AU-Fog,FoggDam,-12.5452,131.30721,Tr,H,G-C3,GRA,7,SANDY CLAY LOAM,Sws,-0.1,2006-02-07 00:00:00,2008-10-31 17:30:00,/home/sanjays/et97_scratch2/oldscratch/Ozflux_data_full/L6/FoggDam_L6.nc,/home/sanjays/et97_scratch2/oldscratch/Ozflux_data_full/OWUS_australia/sanjay data creation/modis_lai_fpar_data/modis_climatology_curves_2003_2025/FoggDam_MODIS_DOY_climatology_mean_win31_2003_2025.csv,0.8433333333333334,0.18666666666666668,0.6566666666666667,0.15666666666666665,1.0
AU-Stp,SturtPlains,-17.1507,133.35021,Ar,H,G-C4,GRA,7,SANDY CLAY LOAM,Sws,-0.05,2008-08-28 11:00:00,2025-02-02 00:00:00,/home/sanjays/et97_scratch2/oldscratch/Ozflux_data_full/L6/SturtPlains_L6.nc,/home/sanjays/et97_scratch2/oldscratch/Ozflux_data_full/OWUS_australia/sanjay data creation/modis_lai_fpar_data/modis_climatology_curves_2003_2025/SturtPlains_MODIS_DOY_climatology_mean_win31_2003_2025.csv,0.629375,0.025,0.604375,0.370625,1.0
AU-Wal,WallabyCreek,-37.4259,145.1878,Te,BL,BF-te,EBF,12,CLAY,Sws_40cma,-0.4,2005-08-25 12:30:00,2008-12-31 23:30:00,/home/sanjays/et97_scratch2/oldscratch/Ozflux_data_full/L6/WallabyCreek_L6.nc,/home/sanjays/et97_scratch2/oldscratch/Ozflux_data_full/OWUS_australia/sanjay data creation/modis_lai_fpar_data/modis_climatology_curves_2003_2025/WallabyCreek_MODIS_DOY_climatology_mean_win31_2003_2025.csv,0.9925,0.7825,0.21,0.0075,0.9999999999999999
AU-Col,Collie,-33.42,116.237,Te,M,BF-te,WSA,2,LOAMY SAND,Sws_30cm,-0.3,2017-08-04 00:30:00,2019-11-11 13:30:00,/home/sanjays/et97_scratch2/oldscratch/Ozflux_data_full/L6/Collie_L6.nc,/home/sanjays/et97_scratch2/oldscratch/Ozflux_data_full/OWUS_australia/sanjay data creation/modis_lai_fpar_data/modis_climatology_curves_2003_2025/Collie_MODIS_DOY_climatology_mean_win31_2003_2025.csv,0.9366666666666666,0.3766666666666666,0.56,0.06333333333333332,1.0
AU-Boy,Boyagin,-32.47709,116.93856,Te,M,BF-te,GRA,3,SANDY LOAM,"Sws_40cm_N, Sws_40cm_S",-0.4,2017-10-20 13:00:00,2025-02-02 00:00:00,/home/sanjays/et97_scratch2/oldscratch/Ozflux_data_full/L6/Boyagin_L6.nc,/home/sanjays/et97_scratch2/oldscratch/Ozflux_data_full/OWUS_australia/sanjay data creation/modis_lai_fpar_data/modis_climatology_curves_2003_2025/Boyagin_MODIS_DOY_climatology_mean_win31_2003_2025.csv,0.9442857142857143,0.3271428571428572,0.6171428571428572,0.05571428571428571,1.0
AU-Adr,AdelaideRiver,-13.0769,131.1178,Tr,M,BF-tr,GRA,3,SANDY LOAM,Sws,-0.05,2007-10-17 11:30:00,2009-05-24 06:00:00,/home/sanjays/et97_scratch2/oldscratch/Ozflux_data_full/L6/AdelaideRiver_L6.nc,/home/sanjays/et97_scratch2/oldscratch/Ozflux_data_full/OWUS_australia/sanjay data creation/modis_lai_fpar_data/modis_climatology_curves_2003_2025/AdelaideRiver_MODIS_DOY_climatology_mean_win31_2003_2025.csv,0.99,0.05666666666666667,0.9333333333333331,0.01,0.9999999999999998
AU-DaS,DalyUncleared,-14.1592,131.38811,Tr,M,BF-tr,OSH,1,SAND,Sws,-0.05,2008-01-01 00:00:00,2025-02-02 00:00:00,/home/sanjays/et97_scratch2/oldscratch/Ozflux_data_full/L6/DalyUncleared_L6.nc,/home/sanjays/et97_scratch2/oldscratch/Ozflux_data_full/OWUS_australia/sanjay data creation/modis_lai_fpar_data/modis_climatology_curves_2003_2025/DalyUncleared_MODIS_DOY_climatology_mean_win31_2003_2025.csv,0.87875,0.113125,0.765625,0.12125,1.0
AU-How,HowardSprings,-12.4952,131.15005,Tr,M,BF-tr,SAV,7,SANDY CLAY LOAM,"Sws_40cm , Sws_40cma",-0.4,2002-01-01 06:00:00,2025-02-02 00:00:00,/home/sanjays/et97_scratch2/oldscratch/Ozflux_data_full/L6/HowardSprings_L6.nc,/home/sanjays/et97_scratch2/oldscratch/Ozflux_data_full/OWUS_australia/sanjay data creation/modis_lai_fpar_data/modis_climatology_curves_2003_2025/HowardSprings_MODIS_DOY_climatology_mean_win31_2003_2025.csv,0.9218181818181819,0.17227272727272727,0.7495454545454545,0.07818181818181819,1.0
AU-Lit,Litchfield,-13.17904,130.79454,Tr,M,BF-tr,SAV,7,SANDY CLAY LOAM,"Sws_20cma, Sws_20cmb",-0.2,2015-06-23 13:00:00,2025-01-17 00:00:00,/home/sanjays/et97_scratch2/oldscratch/Ozflux_data_full/L6/Litchfield_L6.nc,/home/sanjays/et97_scratch2/oldscratch/Ozflux_data_full/OWUS_australia/sanjay data creation/modis_lai_fpar_data/modis_climatology_curves_2003_2025/Litchfield_MODIS_DOY_climatology_mean_win31_2003_2025.csv,0.92,0.18888888888888888,0.7311111111111112,0.08,1.0
AU-Gre,GreatWesternWoodlands,-30.1914,120.65416,Ar,M,BF-te,SAV,3,SANDY LOAM,Sws,-0.1,2013-01-01 15:30:00,2024-12-31 23:30:00,/home/sanjays/et97_scratch2/oldscratch/Ozflux_data_full/L6/GreatWesternWoodlands_L6.nc,/home/sanjays/et97_scratch2/oldscratch/Ozflux_data_full/OWUS_australia/sanjay data creation/modis_lai_fpar_data/modis_climatology_curves_2003_2025/GreatWesternWoodlands_MODIS_DOY_climatology_mean_win31_2003_2025.csv,0.739090909090909,0.07727272727272727,0.6618181818181819,0.2609090909090909,1.0
AU-Rgf,Ridgefield,-32.5061,116.96683,Te,H,G-C3,CRO,2,LOAMY SAND,Sws,-0.05,2015-03-29 05:00:00,2025-02-02 00:00:00,/home/sanjays/et97_scratch2/oldscratch/Ozflux_data_full/L6/Ridgefield_L6.nc,/home/sanjays/et97_scratch2/oldscratch/Ozflux_data_full/OWUS_australia/sanjay data creation/modis_lai_fpar_data/modis_climatology_curves_2003_2025/Ridgefield_MODIS_DOY_climatology_mean_win31_2003_2025.csv,0.8222222222222222,0.041111111111111105,0.7811111111111111,0.17777777777777778,1.0
AU-Cum,CumberlandPlain,-33.61528,150.72361,Te,BL,BF-te,EBF,7,SANDY CLAY LOAM,"Sws_20cm, Sws_20cma,Sws_20cmb",-0.2,2014-01-01 00:30:00,2025-01-01 00:00:00,/home/sanjays/et97_scratch2/oldscratch/Ozflux_data_full/L6/CumberlandPlain_L6.nc,/home/sanjays/et97_scratch2/oldscratch/Ozflux_data_full/OWUS_australia/sanjay data creation/modis_lai_fpar_data/modis_climatology_curves_2003_2025/CumberlandPlain_MODIS_DOY_climatology_mean_win31_2003_2025.csv,0.971,0.51,0.461,0.028999999999999998,1.0
AU-Ctr,CapeTribulation,-16.10322,145.44692,Tr,BL,BF-tr,EBF,7,SANDY CLAY LOAM,Sws ,-0.1,2010-01-01 00:00:00,2018-11-02 12:00:00,/home/sanjays/et97_scratch2/oldscratch/Ozflux_data_full/L6/CapeTribulation_L6.nc,/home/sanjays/et97_scratch2/oldscratch/Ozflux_data_full/OWUS_australia/sanjay data creation/modis_lai_fpar_data/modis_climatology_curves_2003_2025/CapeTribulation_MODIS_DOY_climatology_mean_win31_2003_2025.csv,0.9755555555555555,0.7488888888888888,0.22666666666666668,0.024444444444444446,1.0
AU-Cow,CowBay,-16.23819,145.42716,Tr,BL,BF-tr,EBF,7,SANDY CLAY LOAM,Sws,-0.15,2009-01-01 09:00:00,2025-02-02 00:00:00,/home/sanjays/et97_scratch2/oldscratch/Ozflux_data_full/L6/CowBay_L6.nc,/home/sanjays/et97_scratch2/oldscratch/Ozflux_data_full/OWUS_australia/sanjay data creation/modis_lai_fpar_data/modis_climatology_curves_2003_2025/CowBay_MODIS_DOY_climatology_mean_win31_2003_2025.csv,0.9653333333333334,0.716,0.24933333333333332,0.034666666666666665,0.9999999999999999
AU-Whr,Whroo,-36.6732,145.0294,Ar,M,BF-te,WSA,7,SANDY CLAY LOAM,Sws,-0.1,2011-12-01 13:30:00,2023-12-31 23:30:00,/home/sanjays/et97_scratch2/oldscratch/Ozflux_data_full/L6/Whroo_L6.nc,/home/sanjays/et97_scratch2/oldscratch/Ozflux_data_full/OWUS_australia/sanjay data creation/modis_lai_fpar_data/modis_climatology_curves_2003_2025/Whroo_MODIS_DOY_climatology_mean_win31_2003_2025.csv,0.9676923076923077,0.43153846153846154,0.5361538461538461,0.03230769230769231,0.9999999999999999
AU-Rob,RobsonCreek,-17.11747,145.63014,Tr,BL,BF-tr,EBF,7,SANDY CLAY LOAM,Sws,-0.15,2013-08-01 17:30:00,2025-02-02 00:00:00,/home/sanjays/et97_scratch2/oldscratch/Ozflux_data_full/L6/RobsonCreek_L6.nc,/home/sanjays/et97_scratch2/oldscratch/Ozflux_data_full/OWUS_australia/sanjay data creation/modis_lai_fpar_data/modis_climatology_curves_2003_2025/RobsonCreek_MODIS_DOY_climatology_mean_win31_2003_2025.csv,0.9681818181818181,0.7445454545454545,0.22363636363636363,0.031818181818181815,1.0
AU-Tum,Tumbarumba,-35.6566,148.15159,Te,BL,BF-te,ENF,9,CLAY LOAM,Sws,-0.3,2002-01-07 16:00:00,2022-12-03 18:00:00,/home/sanjays/et97_scratch2/oldscratch/Ozflux_data_full/L6/Tumbarumba_L6.nc,/home/sanjays/et97_scratch2/oldscratch/Ozflux_data_full/OWUS_australia/sanjay data creation/modis_lai_fpar_data/modis_climatology_curves_2003_2025/Tumbarumba_MODIS_DOY_climatology_mean_win31_2003_2025.csv,0.991904761904762,0.76,0.2319047619047619,0.008095238095238095,0.9999999999999999
AU-Lox,Loxton,-34.47035,140.65512,Ar,H,G-C3,GRA,3,SANDY LOAM,Sws_045,-0.45,2008-08-19 17:00:00,2009-06-09 10:30:00,/home/sanjays/et97_scratch2/oldscratch/Ozflux_data_full/L6/Loxton_L6.nc,/home/sanjays/et97_scratch2/oldscratch/Ozflux_data_full/OWUS_australia/sanjay data creation/modis_lai_fpar_data/modis_climatology_curves_2003_2025/Loxton_MODIS_DOY_climatology_mean_win31_2003_2025.csv,0.955,0.135,0.82,0.045,1.0
AU-War,Warra,-43.09502,146.65452,Te,BL,BF-te,EBF,12,CLAY,Sws,-0.3,2013-03-05 15:00:00,2021-09-21 12:00:00,/home/sanjays/et97_scratch2/oldscratch/Ozflux_data_full/L6/Warra_L6.nc,/home/sanjays/et97_scratch2/oldscratch/Ozflux_data_full/OWUS_australia/sanjay data creation/modis_lai_fpar_data/modis_climatology_curves_2003_2025/Warra_MODIS_DOY_climatology_mean_win31_2003_2025.csv,0.9422222222222222,0.7744444444444444,0.16777777777777778,0.057777777777777775,1.0
AU-ASM,AliceSpringsMulga,-22.283,133.24899,Ar,M,BF-te,CSH,3,SANDY LOAM,Sws,-0.1,2010-09-03 00:00:00,2025-01-28 10:00:00,/home/sanjays/et97_scratch2/oldscratch/Ozflux_data_full/L6/AliceSpringsMulga1_L6.nc,/home/sanjays/et97_scratch2/oldscratch/Ozflux_data_full/OWUS_australia/sanjay data creation/modis_lai_fpar_data/modis_climatology_curves_2003_2025/AliceSpringsMulga_MODIS_DOY_climatology_mean_win31_2003_2025.csv,0.5921428571428571,0.0642857142857143,0.5278571428571428,0.40785714285714286,1.0
AU-TTE,TiTreeEast,-22.287,133.64,Ar,M,BF-te,CSH,3,SANDY LOAM,Sws,-0.1,2012-07-18 00:00:00,2022-01-17 23:30:00,/home/sanjays/et97_scratch2/oldscratch/Ozflux_data_full/L6/TiTreeEast_L6.nc,/home/sanjays/et97_scratch2/oldscratch/Ozflux_data_full/OWUS_australia/sanjay data creation/modis_lai_fpar_data/modis_climatology_curves_2003_2025/TiTreeEast_MODIS_DOY_climatology_mean_win31_2003_2025.csv,0.5881818181818181,0.060909090909090906,0.5272727272727272,0.4118181818181818,1.0
AU-Gin,Gingin,-31.37635,115.71377,Te,M,BF-te,SAV,2,LOAMY SAND,Sws,-0.3,2011-10-13 14:00:00,2024-12-31 23:30:00,/home/sanjays/et97_scratch2/oldscratch/Ozflux_data_full/L6/Gingin_L6.nc,/home/sanjays/et97_scratch2/oldscratch/Ozflux_data_full/OWUS_australia/sanjay data creation/modis_lai_fpar_data/modis_climatology_curves_2003_2025/Gingin_MODIS_DOY_climatology_mean_win31_2003_2025.csv,0.9253846153846154,0.30923076923076925,0.6161538461538462,0.07461538461538461,1.0
AU-RDF,RedDirtMelonFarm,-14.56364,132.47757,Tr,M,BF-tr,GRA,2,LOAMY SAND,Sws,-0.05,2011-09-23 09:00:00,2013-07-21 23:30:00,/home/sanjays/et97_scratch2/oldscratch/Ozflux_data_full/L6/RedDirtMelonFarm_L6.nc,/home/sanjays/et97_scratch2/oldscratch/Ozflux_data_full/OWUS_australia/sanjay data creation/modis_lai_fpar_data/modis_climatology_curves_2003_2025/RedDirtMelonFarm_MODIS_DOY_climatology_mean_win31_2003_2025.csv,0.73,0.04,0.69,0.27,1.0
